epoch,image_AUROC,image_F1Score,pixel_AUROC,pixel_F1Score,step,train_ae_epoch,train_ae_step,train_loss_epoch,train_loss_step,train_st_epoch,train_st_step,train_stae_epoch,train_stae_step
0,,,,,49,,1.0051405429840088,,8.593404769897461,,7.533871650695801,,0.05439317971467972
0,,,,,99,,0.6332101821899414,,9.398476600646973,,8.731447219848633,,0.0338190458714962
0,,,,,149,,0.5879321098327637,,7.407144069671631,,6.779731750488281,,0.039480336010456085
0,,,,,199,,0.8218234181404114,,6.890799045562744,,6.003916263580322,,0.0650591179728508
0,,,,,249,,0.35253605246543884,,4.469697952270508,,4.050472259521484,,0.06668959558010101
0,,,,,299,,0.4637160897254944,,3.8979666233062744,,3.3255066871643066,,0.10874400287866592
0,,,,,349,,0.28846701979637146,,2.5761749744415283,,2.246877908706665,,0.040830034762620926
0,,,,,399,,0.4552754759788513,,4.823159217834473,,4.304680347442627,,0.0632033571600914
0,,,,,411,0.65688157081604,,6.18709135055542,,5.454710960388184,,0.07550176233053207,
1,,,,,449,,0.8161313533782959,,5.70714807510376,,4.790688991546631,,0.10032790899276733
1,,,,,499,,0.418601930141449,,3.659921407699585,,3.178313970565796,,0.06300545483827591
1,,,,,549,,0.8615984916687012,,3.3489410877227783,,2.411355495452881,,0.07598710805177689
1,,,,,599,,0.439800500869751,,4.755988597869873,,4.258960723876953,,0.05722752586007118
1,,,,,649,,0.46245548129081726,,3.575944423675537,,3.0510013103485107,,0.06248760223388672
1,,,,,699,,0.3245091736316681,,2.0247442722320557,,1.5200616121292114,,0.18017347157001495
1,,,,,749,,0.2783401906490326,,1.7414289712905884,,1.4132468700408936,,0.04984184727072716
1,,,,,799,,0.2896127998828888,,1.9486918449401855,,1.6115225553512573,,0.047556497156620026
1,,,,,823,0.4341029226779938,,3.2823758125305176,,2.7775533199310303,,0.0707203596830368,
2,,,,,849,,0.34576451778411865,,3.2116003036499023,,2.8087663650512695,,0.057069260627031326
2,,,,,899,,0.564674973487854,,3.0496013164520264,,2.378633737564087,,0.10629254579544067
2,,,,,949,,0.2670270502567291,,3.6430253982543945,,3.294729232788086,,0.08126901835203171
2,,,,,999,,0.3884500563144684,,1.6171525716781616,,1.1389516592025757,,0.08975086361169815
2,,,,,1049,,0.3778476417064667,,1.567857027053833,,1.1284993886947632,,0.06150994077324867
2,,,,,1099,,0.26988092064857483,,1.4509705305099487,,1.1003477573394775,,0.08074190467596054
2,,,,,1149,,0.20289036631584167,,2.0402650833129883,,1.764935851097107,,0.07243876159191132
2,,,,,1199,,0.43289756774902344,,3.7014260292053223,,3.1273629665374756,,0.1411655992269516
2,,,,,1235,0.3489936888217926,,2.5419254302978516,,2.125164031982422,,0.067766934633255,
3,,,,,1249,,0.21716523170471191,,1.8056795597076416,,1.5532898902893066,,0.035224467515945435
3,,,,,1299,,0.24066413938999176,,1.6633760929107666,,1.3606455326080322,,0.06206637620925903
3,,,,,1349,,0.37407153844833374,,3.000227212905884,,2.5283010005950928,,0.0978546142578125
3,,,,,1399,,0.22013695538043976,,1.4332365989685059,,1.1752188205718994,,0.03788074478507042
3,,,,,1449,,0.21560795605182648,,2.629884719848633,,2.3719935417175293,,0.042283300310373306
3,,,,,1499,,0.21453328430652618,,2.7570197582244873,,2.4999167919158936,,0.04256955161690712
3,,,,,1549,,0.2884306013584137,,1.2290961742401123,,0.8771184086799622,,0.06354711204767227
3,,,,,1599,,0.2165549248456955,,2.6066529750823975,,2.3489253520965576,,0.04117279872298241
3,,,,,1647,0.3031086325645447,,2.2654471397399902,,1.8918050527572632,,0.07053445279598236,
4,,,,,1649,,0.22631902992725372,,1.3265364170074463,,1.0322407484054565,,0.06797657907009125
4,,,,,1699,,0.3554140329360962,,2.7103049755096436,,2.293264389038086,,0.06162671744823456
4,,,,,1749,,0.27528801560401917,,2.486938714981079,,2.1585679054260254,,0.0530826635658741
4,,,,,1799,,0.2293778508901596,,2.3171064853668213,,2.042668581008911,,0.045060139149427414
4,,,,,1849,,0.15638607740402222,,1.0837385654449463,,0.8917292952537537,,0.03562318906188011
4,,,,,1899,,0.3518177568912506,,1.664952278137207,,1.1783957481384277,,0.1347387731075287
4,,,,,1949,,0.2754083275794983,,2.7705724239349365,,2.43636417388916,,0.05879991129040718
4,,,,,1999,,0.4051952660083771,,2.4563121795654297,,1.9539458751678467,,0.0971711054444313
4,,,,,2049,,0.40245041251182556,,2.535252809524536,,2.059436321258545,,0.07336605340242386
4,,,,,2059,0.26866987347602844,,1.9859213829040527,,1.6525620222091675,,0.06469009071588516,
5,,,,,2099,,0.20305322110652924,,2.7797367572784424,,2.541016101837158,,0.03566733002662659
5,,,,,2149,,0.16229593753814697,,0.997323751449585,,0.7801497578620911,,0.05487806722521782
5,,,,,2199,,0.20137852430343628,,1.3613563776016235,,1.0637738704681396,,0.09620390087366104
5,,,,,2249,,0.26003938913345337,,1.4248888492584229,,1.0847456455230713,,0.08010389655828476
5,,,,,2299,,0.16239722073078156,,1.0299692153930664,,0.8246549367904663,,0.042917124927043915
5,,,,,2349,,0.37686145305633545,,2.2970433235168457,,1.852311134338379,,0.06787055730819702
5,,,,,2399,,0.1373613476753235,,1.2989245653152466,,1.1276005506515503,,0.033962659537792206
5,,,,,2449,,0.29620641469955444,,1.062746524810791,,0.6903165578842163,,0.07622355222702026
5,,,,,2471,0.2465512454509735,,1.8039398193359375,,1.493622899055481,,0.06376541405916214,
6,,,,,2499,,0.13214606046676636,,0.8370894193649292,,0.678494393825531,,0.02644895389676094
